# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of INV T0 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INV T1 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INV T2 W1
C Cin__VSS__lh__ACQ_1 of INV T3 W1
C Cin__VSS__hl__ACQ_1 of INV T4 W1
C Cin__VDD__lh__ACQ_1 of INV T5 W1
C Cin__VDD__hl__ACQ_1 of INV T6 W1
C leakage_power__ACQ_1 of OAI22 T7 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T8 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T9 W1
C delay__A__hl__OUT__lh__ACQ_1 of OAI22 T10 W1
C delay__A__lh__OUT__hl__ACQ_1 of OAI22 T11 W1
C delay__B__hl__OUT__lh__ACQ_1 of OAI22 T12 W1
C delay__B__lh__OUT__hl__ACQ_1 of OAI22 T13 W1
C delay__C__hl__OUT__lh__ACQ_1 of OAI22 T14 W1
C delay__C__lh__OUT__hl__ACQ_1 of OAI22 T15 W1
C delay__D__hl__OUT__lh__ACQ_1 of OAI22 T16 W1
C delay__D__lh__OUT__hl__ACQ_1 of OAI22 T17 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T18 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T19 W1
