# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C delay__B__lh__OUT__hl__ACQ_1 of NAND3 T0 W1
C delay__B__hl__OUT__lh__ACQ_1 of NAND3 T1 W1
C leakage_power__ACQ_1 of NAND3 T2 W1
C delay__C__lh__OUT__hl__ACQ_1 of NAND3 T3 W1
C delay__C__hl__OUT__lh__ACQ_1 of NAND3 T4 W1
C Cin__VSS__lh__ACQ_1 of NAND3 T5 W1
C Cin__VSS__hl__ACQ_1 of NAND3 T6 W1
C delay__A__lh__OUT__hl__ACQ_1 of NAND3 T7 W1
C delay__A__hl__OUT__lh__ACQ_1 of NAND3 T8 W1
C Cin__VDD__lh__ACQ_1 of NAND3 T9 W1
C Cin__VDD__hl__ACQ_1 of NAND3 T10 W1
C delay__B__lh__OUT__hl__ACQ_1 of NOR2 T11 W1
C delay__B__hl__OUT__lh__ACQ_1 of NOR2 T12 W1
C leakage_power__ACQ_1 of NOR2 T13 W1
C Cin__VSS__lh__ACQ_1 of NOR2 T14 W1
C Cin__VSS__hl__ACQ_1 of NOR2 T15 W1
C delay__A__lh__OUT__hl__ACQ_1 of NOR2 T16 W1
C delay__A__hl__OUT__lh__ACQ_1 of NOR2 T17 W1
C Cin__VDD__lh__ACQ_1 of NOR2 T18 W1
C Cin__VDD__hl__ACQ_1 of NOR2 T19 W1
C leakage_power__ACQ_1 of OAI22 T20 W2
C Cin__VSS__hl__ACQ_1 of OAI22 T21 W2
C Cin__VSS__lh__ACQ_1 of OAI22 T22 W2
C delay__A__hl__OUT__lh__ACQ_1 of OAI22 T23 W2
C delay__A__lh__OUT__hl__ACQ_1 of OAI22 T24 W2
C delay__B__hl__OUT__lh__ACQ_1 of OAI22 T25 W2
C delay__B__lh__OUT__hl__ACQ_1 of OAI22 T26 W2
C delay__C__hl__OUT__lh__ACQ_1 of OAI22 T27 W2
C delay__C__lh__OUT__hl__ACQ_1 of OAI22 T28 W2
C delay__D__hl__OUT__lh__ACQ_1 of OAI22 T29 W2
C delay__D__lh__OUT__hl__ACQ_1 of OAI22 T30 W2
C Cin__VDD__hl__ACQ_1 of OAI22 T31 W2
C Cin__VDD__lh__ACQ_1 of OAI22 T32 W2
C leakage_power__ACQ_1 of XNOR2 T33 W3
C Cin__VSS__hl__ACQ_1 of XNOR2 T34 W3
C Cin__VSS__lh__ACQ_1 of XNOR2 T35 W3
C delay__A__hl__OUT__hl__ACQ_1 of XNOR2 T36 W3
C delay__A__hl__OUT__lh__ACQ_1 of XNOR2 T37 W3
C delay__A__lh__OUT__hl__ACQ_1 of XNOR2 T38 W3
C delay__A__lh__OUT__lh__ACQ_1 of XNOR2 T39 W3
C delay__B__hl__OUT__hl__ACQ_1 of XNOR2 T40 W3
C delay__B__hl__OUT__lh__ACQ_1 of XNOR2 T41 W3
C delay__B__lh__OUT__hl__ACQ_1 of XNOR2 T42 W3
C delay__B__lh__OUT__lh__ACQ_1 of XNOR2 T43 W3
C Cin__VDD__hl__ACQ_1 of XNOR2 T44 W3
C Cin__VDD__lh__ACQ_1 of XNOR2 T45 W3
